id,display_name,price,type,efficiency,wattage,modular,colour
cac71ee3-786b-4d94-9ded-afd92a43d9cc,be quiet! SFX L Power,128.58,SFX,gold,600,Full,
1a8d225a-72c2-45d7-90a5-97c15d0a3737,Super Flower Leadex,,ATX,platinum,2000,Full,
d0a37df3-2614-4d3e-b540-f49b17b2df01,Deepcool PQ1000M,149.99,ATX,gold,1000,Full,Black
67eb21fd-a4f7-4290-b466-468b8324dab8,EVGA 750 BP,79.99,ATX,bronze,750,False,Black
5790d94c-20fc-4cdb-b0a7-61db1bcd3f24,Asus ROG Strix,157.16,ATX,gold,750,Full,Black / Red
26c43f3d-3bfd-475c-9e88-458cfcb90cfb,GameMax GM,,ATX,bronze,500,Semi,Black
ead5bb51-fff7-4632-b399-98620edf3ce3,EVGA 750 GQ,109.95,ATX,gold,750,Semi,
6579b967-7724-4a2b-991b-95b502208ca3,SeaSonic PRIME Ultra Titanium,284.99,ATX,titanium,1000,Full,
78a2ec9f-b5ba-4043-bc3d-5bd5a9e8924a,EVGA 850 GQ,173.02,ATX,gold,850,Semi,
dd624410-10b0-48f2-b64a-20d375b89d93,ADATA XPG CORE Reactor 750,99.99,ATX,gold,750,Full,Black
a4a4ca56-7c1c-443e-9565-90b26c3ad464,Corsair AX1200i,,ATX,platinum,1200,Full,
0cb745af-8cc2-4f85-a36a-6182efc03902,NZXT C650 (2022),119.99,ATX,gold,650,Full,Black
55c5f781-6665-462d-a1b5-7def75ad459d,Thermaltake Smart BM3,69.98,ATX,bronze,650,Semi,Black
fd69b213-277b-4ea0-a282-99a33c86c223,Apevia Signature,69.98,ATX,bronze,1050,Semi,Black
4464193b-28a2-4797-ad6b-ec6610d9f451,Gigabyte UD1000GM PG5 (rev. 2.0),129.99,ATX,gold,1000,Full,Black
84e821d6-ec62-44e9-a211-91ce79a95919,Deepcool PQ850M,122.99,ATX,gold,850,Full,Black
5fa6a69d-ad97-40b0-bd41-5fe80f5c1428,be quiet! Straight Power 12,249.9,ATX,platinum,1200,Full,Black
29843ff4-c0b4-4e95-8fab-21cc6b5e8fb1,Cooler Master V650 SFX GOLD,123.72,SFX,gold,650,Full,Black
1e825896-f1e4-4b5d-99c7-19e80f2fe7e2,Deepcool PQ750M,109.99,ATX,gold,750,Full,Black
50f8b41e-3e78-4912-97c6-7ac324f68294,EVGA GE,89.99,ATX,gold,800,False,Black
8989828a-f4be-439b-add7-054e1a644a09,Cooler Master V650 V2,130.76,ATX,gold,650,Full,White
17ba0bdf-2c67-438a-b7ac-a7b6ee88393c,SeaSonic PRIME TX,439.99,ATX,titanium,1300,Full,Black / Silver
8ec50dd8-16c0-45e4-ae3b-d8c59d53fe1e,be quiet! Straight Power 11,,ATX,platinum,850,Full,Black
d73768a5-c5cb-46d6-8b68-77b5f5e2a943,Asus ROG LOKI,199.99,SFX,platinum,850,Full,Black / Silver
7895e53d-90b5-4357-a105-c2cdfa1b107e,GameMax RGB Rainbow,109.99,ATX,gold,850,Full,Black
ef5b3623-5c9f-4652-b454-fdbc1ba4d182,Super Flower Leadex III Gold,,ATX,gold,650,Full,Black
7a29a17a-d37c-4872-8c6e-4d4ab501e698,Silverstone SX1000-LPT,287.85,SFX,platinum,1000,Full,Black
42435bc6-e391-4ca5-bcee-68d243a2a3f6,Super Flower Leadex Platinum SE,159.99,ATX,platinum,1000,Full,Black
9d217eaf-5b2f-4c24-9edb-a10891040981,Silverstone SST-TX300,74.98,TFX,bronze,300,False,Black
b258439b-8994-4fec-8d42-929357072c37,EVGA 850 BQ,104.99,ATX,bronze,850,Semi,
a5b808cd-56d4-44c1-86d1-651cabb33099,EVGA SuperNOVA 1600 T2,599.99,ATX,titanium,1600,Full,
9a6c2ed6-3e9b-45b1-a319-7db850c4df3b,EVGA 500 BQ,115.99,ATX,bronze,500,Semi,
422b9df4-e733-4dbd-9ca1-ca7001d141dc,SeaSonic G12 GM,,ATX,gold,750,Semi,Black / Blue
