id,display_name,price,capacity,type,cache_size,form_factor,interface
0ae2a7e8-59f3-4b36-b108-ca5e27d76fa2,Seagate FireCuda 530,79.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
59eedcbd-4af9-4164-baed-53545ce9247e,ADATA XPG SX8200 Pro,56.47,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
47568a32-7267-4bf3-8b94-8ea04525a5c8,Sabrent Rocket Q,,8000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
0c555ad0-7a0a-4ae9-827a-acd344f1d44e,Samsung 870 Evo,32.31,250.0,SSD,512.0,2.5,SATA 6.0 Gb/s
d1b37119-fcd3-48aa-9442-5ef5850497e1,Western Digital Blue,52.99,500.0,SSD,,2.5,SATA 6.0 Gb/s
242300aa-5029-4382-814d-dd1e78083cb9,ADATA XPG SX8200 Pro,84.99,2000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
85f51910-62dd-49c0-9aec-53679f89c123,Western Digital Black SN850X w/Heatsink,79.98,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
61c2a5a2-d805-4912-a1c5-127b9967f6d3,SK Hynix Platinum P41,89.99,1000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
1bbf40ca-7fcb-431c-889f-c15ac9270ed9,ADATA Legend 800,78.98,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
555c6ae2-fbc0-4efd-8fdb-94b1eea94eec,Intel 670p,27.99,512.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
f5719637-d280-402f-91d1-96a383764c40,Western Digital Blue SN580,109.99,2000.0,SSD,,M.2-2280,M.2 PCIe 4.0 X4
14758059-07db-427f-8c93-9bdde832a136,Crucial P2,62.9,1000.0,SSD,,M.2-2280,M.2 PCIe 3.0 X4
